category,round,value,clue,answer
,,,,
A IS FOR AUTUMN,1,200,"An October festival for the harvest of these has been held for decades in Arendtsville, Pennsylvania",apples
,,,,
A IS FOR AUTUMN,1,400,"Each fall Alabama & this S.E.C. football archrival meet in ""The Iron Bowl""",Auburn
,,,,
A IS FOR AUTUMN,1,600,"This period in the ecclesiastical year leading up to Christmas begins Sunday, Nov. 29, 2020",Advent
,,,,
A IS FOR AUTUMN,1,800,"Though as zodiac signs they're in January, February, March & April, these 2 constellations are best viewed in fall in the N. Hemisphere",Aries & Aquarius
,,,,
A IS FOR AUTUMN,1,1000,"Sometimes called ""quaking"", this tree brings glorious color to autumn in Colorado",aspen
,,,,
"""ISM""s",1,200,Classes at Columbia University's school of this include sports reporting & magazine writing,journalism
,,,,
"""ISM""s",1,1000,"Term for the ideas, theories and methods named for the man seen here",Marxism
,,,,
"""ISM""s",1,600,"Britannica says this ""both reached its peak & began its decline"" during a series of televised hearings in 1954",McCarthyism
,,,,
"""ISM""s",1,800,"From a Greek word for ""pleasure"", it's the belief that pleasure is the highest good",hedonism
,,,,
"""ISM""s",1,1000,"In New York City the Gray Panthers organization's mission statement is ""activism and advocacy against"" this",ageism
,,,,
UU COMPLETE ME,2,400,Space that has had all the air removed from it,a vacuum
,,,,
UU COMPLETE ME,2,800,The name of this garment is Hawaiian,muumuu
,,,,
UU COMPLETE ME,2,1200,A series in which adjacent elements are not perceptibly distinguishable from one another,a continuum
,,,,
UU COMPLETE ME,2,1600,"It's the genus that includes asses, zebras & related mammals",Equus
,,,,
UU COMPLETE ME,2,2000,This longtime opposition leader in Myanmar has been the de facto leader of the country since 2016,Aung San Suu Kyi
,,,,
"""YOU"" IDIOM!",1,200,This canine saying means mature folks tend to be set in their ways,You can't teach an old dog new tricks
,,,,
"""YOU"" IDIOM!",1,400,"One's body is composed of what one ingests, in other words",You are what you eat
,,,,
"1 WORD, 2 MEANINGS",2,400,"It can mean to create something, or it can refer to the current style of dress",fashion
,,,,
"1 WORD, 2 MEANINGS",2,800,"A geometric figure, or go fish with a hook & line",angle
,,,,
"1 WORD, 2 MEANINGS",2,1200,"It can mean to hinder, or a place for your dirty clothes",a hamper
,,,,
"1 WORD, 2 MEANINGS",2,2000,"It's a large waterfall, or an eye abnormality",a cataract
,,,,
"1 WORD, 2 MEANINGS",2,2000,"It's a 3-letter word for a water sprite of German folklore, or it can mean to put the kibosh on",nix
,,,,
1920,2,400,"This Republican won the presidential election, defeating Democrat James Cox in a landslide",Warren G. Harding
,,,,
1920,2,800,"Providing taxi service & pleasure flights, this airline was founded in Queensland, Australia",Qantas
,,,,
1970s TV,2,200,"ABC's TGIF line-up in '71 was ""The Brady Bunch"", ""The Partridge Family"", ""Room 222"" & this Neil Simon-based show",The Odd Couple
,,,,
1970s TV,2,400,"The fall of 1975 saw ""The Mary Tyler Moore Show"" & these 2 spin-offs from it on the schedule",Rhoda & Phyllis
,,,,
1970s TV,2,600,"This title family lived in the Blue Ridge Mountains in Jefferson County, Virginia",the Waltons
,,,,
1970s TV,2,800,It was due to Diana Hyland's death that Dick Van Patten became a widower on this series,Eight Is Enough
,,,,
1970s TV,2,1000,"""The Tim Conway Comedy Hour"" followed this man's ""Goodtime Hour"" in 1970, but for only 13 weeks",Glen Campbell
,,,,
19th CENTURY AMERICANS,3,0,"Obituaries called this man who died in 1820 a celebrated colonel, the first settler in Kentucky & a man who delighted in perils & battle",Daniel Boone
,,,,
20th CENTURY ARTISTS,3,0,"""Los Tres Grandes"" were Jos� Clemente Orozco, David Alfaro Siqueiros & him",Diego Rivera
,,,,
3 Ns,2,400,In 1984 the White Sox beat the Brewers 7 to 6 in a game that lasted 25 of these,innings
,,,,
3 Ns,2,800,"In 2019, for her book ""Amity and Prosperity"", Eliza Griswold won a Pulitzer Prize for general this",nonfiction
,,,,
3 Ns,2,1200,"Among other things, the Fifth Amendment protects against self-this",incrimination
,,,,
3 Ns,2,1600,It's also called transmigration of the soul,reincarnation
,,,,
3 Ns,2,2000,Get thee to this other word for a convent,a nunnery
,,,,
3 VOWELS IN A ROW,2,400,Adjective for one who's ready to take you to court anytime,litigious
,,,,
3 VOWELS IN A ROW,2,800,"Mais oui, it's a word for a fabulous mansion--perhaps on the Loire River?",a chateau
,,,,
3 VOWELS IN A ROW,2,1200,"This mental disorder makes it seem like everyone's out to get you, despite having little or no cause",paranoia
,,,,
3 VOWELS IN A ROW,2,1600,Hunkpapa & Oglala are branches of this Native American people,Sioux
,,,,
3 VOWELS IN A ROW,2,2000,"From the Latin for ""rest"", it's a religious service for the dead",requiem
,,,,
3-WORD PHRASES,1,200,"When you lavishly entertain a prospective client, you do this rhyming phrase, perhaps with Merlot & steak",wine and dine
,,,,
3-WORD PHRASES,1,400,"When you have 2 unpleasant options, someone might tell you to do this, which sounds like one could be strychnine",pick your poison
,,,,
3-WORD PHRASES,1,600,"An Obama rallying cry for Spanish-speaking potential voters was ""Si, Se Puede"", this in English","Yes, We Can"
,,,,
3-WORD PHRASES,1,800,"When Picard wanted something to happen quickly on ""Star Trek: The Next Generation"" he often said this",Make it so
,,,,
